month,deposit_rate_pct
2009-01,4.26
2009-02,3.24
2009-03,2.9
2009-04,2.86
2009-05,2.79
2009-06,2.88
2009-07,2.86
2009-08,3.02
2009-09,3.27
2009-10,3.47
2009-11,3.52
2009-12,3.71
2010-01,3.93
2010-02,3.61
2010-03,3.26
2010-04,2.88
2010-05,2.86
2010-06,3.0
2010-07,3.06
2010-08,3.12
2010-09,3.07
2010-10,3.0
2010-11,3.07
2010-12,3.32
2011-01,3.46
2011-02,3.63
2011-03,3.66
2011-04,3.69
2011-05,3.67
2011-06,3.72
2011-07,3.79
2011-08,3.76
2011-09,3.71
2011-10,3.7
2011-11,3.68
2011-12,3.77
2012-01,3.76
2012-02,3.72
2012-03,3.71
2012-04,3.7
2012-05,3.63
2012-06,3.63
2012-07,3.43
2012-08,3.19
2012-09,3.18
2012-10,3.08
2012-11,3.01
2012-12,3.1
2013-01,3.0
2013-02,2.93
2013-03,2.85
2013-04,2.74
2013-05,2.65
2013-06,2.63
2013-07,2.6
2013-08,2.6
2013-09,2.61
2013-10,2.59
2013-11,2.58
2013-12,2.66
2014-01,2.63
2014-02,2.62
2014-03,2.58
2014-04,2.58
2014-05,2.57
2014-06,2.55
2014-07,2.47
2014-08,2.35
2014-09,2.27
2014-10,2.17
2014-11,2.1
2014-12,2.16
2015-01,2.08
2015-02,2.02
2015-03,1.9
2015-04,1.76
2015-05,1.73
2015-06,1.65
2015-07,1.54
2015-08,1.52
2015-09,1.51
2015-10,1.56
2015-11,1.64
2015-12,1.72
2016-01,1.63
2016-02,1.56
2016-03,1.54
2016-04,1.54
2016-05,1.53
2016-06,1.43
2016-07,1.31
2016-08,1.3
2016-09,1.33
2016-10,1.39
2016-11,1.49
2016-12,1.54
2017-01,1.47
2017-02,1.44
2017-03,1.45
2017-04,1.43
2017-05,1.43
2017-06,1.46
2017-07,1.43
2017-08,1.45
2017-09,1.49
2017-10,1.59
2017-11,1.74
2017-12,1.78
2018-01,1.76
2018-02,1.75
2018-03,1.8
2018-04,1.78
2018-05,1.81
2018-06,1.83
2018-07,1.79
2018-08,1.78
2018-09,1.82
2018-10,1.9
2018-11,1.95
2018-12,2.05
2019-01,2.01
2019-02,1.91
2019-03,1.93
2019-04,1.86
2019-05,1.85
2019-06,1.79
2019-07,1.7
2019-08,1.53
2019-09,1.57
2019-10,1.54
2019-11,1.62
2019-12,1.59
2020-01,1.53
2020-02,1.41
2020-03,1.26
2020-04,1.22
2020-05,1.07
2020-06,0.88
2020-07,0.8
2020-08,0.8
2020-09,0.87
2020-10,0.87
2020-11,0.89
2020-12,0.89
2021-01,0.85
2021-02,0.83
2021-03,0.83
2021-04,0.81
2021-05,0.82
2021-06,0.89
2021-07,0.92
2021-08,1.0
2021-09,1.16
2021-10,1.28
2021-11,1.51
2021-12,1.67
2022-01,1.64
2022-02,1.68
2022-03,1.7
2022-04,1.81
2022-05,1.95
2022-06,2.32
2022-07,2.83
2022-08,2.91
2022-09,3.35
2022-10,3.97
2022-11,4.3
2022-12,4.29
2023-01,3.87
2023-02,3.53
2023-03,3.53
2023-04,3.41
2023-05,3.5
2023-06,3.65
2023-07,3.63
2023-08,3.59
2023-09,3.74
2023-10,3.92
2023-11,3.96
2023-12,3.83
2024-01,3.64
2024-02,3.59
2024-03,3.53
2024-04,3.5
2024-05,3.53
2024-06,3.5
2024-07,3.41
2024-08,3.36
2024-09,3.41
2024-10,3.37
2024-11,3.36
2024-12,3.22
2025-01,3.08
2025-02,2.97
2025-03,2.83
2025-04,2.71
2025-05,2.64
2025-06,2.54
2025-07,2.5
2025-08,2.48
2025-09,2.52
2025-10,2.56
2025-11,2.78
2025-12,2.89
2026-01,2.77
2026-02,2.8
2026-03,2.79
2026-04,2.87
2026-05,2.88
2026-06,3.02
2026-07,3.15
