month,KR_EQ,KR_BOND,GOLD_KR_H,US_TECH_KR,US_EQ_KR_H,KR_SMALL,US_BOND_KR,US_EQ_KR,US_TECH_KR_TR,US_EQ
2009-02,-0.09090909,,,,,,,,,-0.01098716
2009-03,0.14285714,,,,,,,,,-0.0162047
2009-04,0.11875,,,,,,,,,0.0761153
2009-05,0.01638418,,,,,,,,,-0.00051529
2009-06,0.00222346,,,,,,,,,0.00860897
2009-07,0.13533001,,,,,,,,,0.03763379
2009-08,0.02056807,-0.00405093,,,,,,,,0.04061786
2009-09,0.06333973,0.00590742,,,,,,,,-0.01128774
2009-10,-0.05776173,-0.00038805,,,,,,,,-0.00940674
2009-11,-0.01005747,0.0150427,,,,,,,,0.03225078
2009-12,0.09216255,-0.00508653,,,,,,,,0.01927557
2010-01,-0.05271318,0.0079922,,,,,,,,-0.04550374
2010-02,-0.00958616,0.00850899,,,,,,,,0.03288904
2010-03,0.06610009,0.00989453,,,,,,,,0.03560289
2010-04,0.02967228,0.00995215,,,,,,,,0.00173051
2010-05,-0.06100218,0.00189502,,,,,,,,-0.00955718
2010-06,0.03039443,-0.00155097,,,,,,,,-0.04376133
2010-07,0.03918036,0.00585413,,,,,,,,0.04791083
2010-08,-0.00912052,0.01173552,,,,,,,,-0.04345218
2010-09,0.06771861,0.00207469,,,,,,,,0.04639755
2010-10,0.00779967,0.00225861,,,,,,,,0.02420197
2010-11,0.03177189,0.00375587,0.015625,0.03927203,,,,,,0.02725013
2010-12,0.08764311,-0.00202058,0.03653846,0.01889401,,,,,,0.04989056
2011-01,0.00816697,-0.00635975,-0.05751391,0.00452284,,,,,,0.00119672
2011-02,-0.05994599,0.00716469,0.05954724,0.0387213,,,,,,0.0473665
2011-03,0.08693987,0.00660154,0.01114724,-0.03207629,,,,,,-0.01823487
2011-04,0.04281184,0.00142234,0.07441433,0.00716525,,,,,,-0.00347239
2011-05,-0.02192156,0.00587066,0.00171013,-0.01778568,,,,,,-0.00356056
2011-06,-0.02836631,-0.00099783,-0.01579172,-0.02761431,,,,,,-0.01914487
2011-07,0.00612723,0.00180952,0.06851691,0.01582868,,,,,,-0.04318384
2011-08,-0.12668222,0.01330925,0.14204545,-0.03483043,-0.07185854,,,,,-0.03782769
