month,wage_total_krw
2011-01,2930231
2011-02,2724445
2011-03,2701145
2011-04,2680140
2011-05,2581412
2011-06,2766956
2011-07,2857845
2011-08,2850286
2011-09,2950527
2011-10,2751697
2011-11,2597146
2011-12,3275416
2012-01,3295348
2012-02,2819402
2012-03,2832679
2012-04,2811768
2012-05,2703088
2012-06,2911839
2012-07,2943640
2012-08,2832572
2012-09,3272080
2012-10,2840484
2012-11,2707997
2012-12,3401543
2013-01,3077591
2013-02,3243618
2013-03,2939022
2013-04,2923425
2013-05,2821840
2013-06,2994475
2013-07,3055646
2013-08,2942542
2013-09,3333364
2013-10,2940914
2013-11,2801443
2013-12,3475731
2014-01,3568221
2014-02,2974422
2014-03,3004186
2014-04,2993424
2014-05,2892236
2014-06,3042311
2014-07,3102913
2014-08,3083065
2014-09,3254852
2014-10,3045328
2014-11,2915576
2014-12,3525306
2015-01,3226129
2015-02,3424283
2015-03,3080640
2015-04,3040904
2015-05,2968793
2015-06,3129798
2015-07,3207808
2015-08,3107144
2015-09,3449990
2015-10,3071087
2015-11,2989595
2015-12,3747998
2016-01,3419458
2016-02,3621131
2016-03,3195187
2016-04,3147575
2016-05,3068328
2016-06,3217640
2016-07,3320093
2016-08,3251331
2016-09,3566312
2016-10,3213250
2016-11,3128484
2016-12,3825850
2017-01,3974748
2017-02,3256879
2017-03,3307206
2017-04,3256855
2017-05,3168982
2017-06,3312206
2017-07,3405285
2017-08,3280121
2017-09,3727441
2017-10,3263885
2017-11,3195596
2017-12,3864315
2018-01,3853467
2018-02,4015889
2018-03,3483034
2018-04,3369635
2018-05,3316864
2018-06,3425927
2018-07,3595990
2018-08,3432846
2018-09,3880063
2018-10,3363933
2018-11,3292545
2018-12,4074093
2019-01,4185199
2019-02,3865694
2019-03,3601093
2019-04,3504309
2019-05,3443958
2019-06,3530858
2019-07,3692786
2019-08,3573645
2019-09,3980035
2019-10,3514387
2019-11,3399827
2019-12,4133827
2020-01,4340031
2020-02,3587043
2020-03,3640621
2020-04,3517194
2020-05,3451342
2020-06,3524888
2020-07,3719823
2020-08,3557474
2020-09,4038598
2020-10,3515995
2020-11,3476916
2020-12,4245550
2021-01,4086844
2021-02,4176468
2021-03,3794751
2021-04,3664733
2021-05,3595125
2021-06,3680228
2021-07,3983723
2021-08,3712652
2021-09,4196735
2021-10,3640122
2021-11,3612175
2021-12,4575667
2022-01,5019959
2022-02,3903757
2022-03,4050350
2022-04,3770094
2022-05,3787133
2022-06,3865278
2022-07,4153222
2022-08,3917316
2022-09,4336813
2022-10,3838247
2022-11,3785033
2022-12,4718957
2023-01,5007118
2023-02,4142218
2023-03,4130436
2023-04,3926362
2023-05,3918729
2023-06,3963387
2023-07,4213045
2023-08,3970175
2023-09,4590128
2023-10,4018023
2023-11,3930390
2023-12,4722046
2024-01,4558544
2024-02,4631944
2024-03,4255471
2024-04,4100052
2024-05,4058882
2024-06,4108207
2024-07,4523669
2024-08,4111123
2024-09,4591549
2024-10,4168081
2024-11,4026879
2024-12,4918230
2025-01,5284229
2025-02,4356697
2025-03,4390793
2025-04,4214538
2025-05,4165820
2025-06,4221836
2025-07,4482042
2025-08,4181543
2025-09,4610362
2025-10,4477926
2025-11,4201331
2025-12,5071140
2026-01,4889948
2026-02,5182581
2026-03,4512512
2026-04,4293802
2026-05,4245068
